pipeline,max_depth,min_samples_leaf,fold,train_rows,validation_rows,mae,mse,rmse,r2
without_pca,4,10,4,265,66,5.289554302315247,47.99294292180809,6.927693910805246,0.6556452551986972
without_pca,4,20,4,265,66,5.218150494491958,42.71495353976598,6.535667796007228,0.6935154206036034
without_pca,5,1,4,265,66,4.6875655584960585,36.909511641197646,6.075319879742765,0.7351701169346316
without_pca,5,5,4,265,66,4.7951328217237315,39.4226916436036,6.278749210121679,0.717137768725058
without_pca,5,10,4,265,66,5.2444772062953895,47.11420566713494,6.86397885101163,0.661950293495127
without_pca,5,20,4,265,66,5.351222943722944,43.295646029149594,6.57994270713276,0.6893488869047737
without_pca,none,1,4,265,66,5.68560606060606,60.668219696969686,7.7889806584025925,0.564698723615753
without_pca,none,5,4,265,66,4.907669552669552,42.0769618828592,6.486675718953369,0.6980930822518467
without_pca,none,10,4,265,66,5.47542958724777,48.880516852014594,6.991460280371662,0.6492768127648478
without_pca,none,20,4,265,66,5.351222943722944,43.295646029149594,6.57994270713276,0.6893488869047737
with_pca,2,1,4,265,66,5.9510874555835045,55.886389756498254,7.475720015924771,0.5990088894148592
with_pca,2,5,4,265,66,5.9510874555835045,55.886389756498254,7.475720015924771,0.5990088894148592
with_pca,2,10,4,265,66,5.9510874555835045,55.886389756498254,7.475720015924771,0.5990088894148592
with_pca,2,20,4,265,66,5.9510874555835045,55.886389756498254,7.475720015924771,0.5990088894148592
with_pca,3,1,4,265,66,5.741158479201959,52.805706870779595,7.266753530344867,0.6211131344213336
with_pca,3,5,4,265,66,6.051729628482787,57.78016859733064,7.601326765593664,0.5854208139657786
with_pca,3,10,4,265,66,5.959381143634301,56.75407058878238,7.533529756281738,0.5927831821883408
with_pca,3,20,4,265,66,6.021387719658473,58.12197669720888,7.623777062402132,0.5829683025372473
with_pca,4,1,4,265,66,5.563574733012374,49.34587642433368,7.024662014953722,0.6459378056731622
with_pca,4,5,4,265,66,6.389359725930453,66.53710725385064,8.15702808955876,0.5225887975749614
with_pca,4,10,4,265,66,6.268806154040563,63.42718285970663,7.964118460928782,0.5449028536819516
with_pca,4,20,4,265,66,6.314932884866381,63.27516560642118,7.954568851070508,0.5459935945132816
with_pca,5,1,4,265,66,5.176967980706371,40.72829152886797,6.381872102202298,0.7077699432088085
with_pca,5,5,4,265,66,6.290417940645213,62.831084587006664,7.9266061203396925,0.5491799256028489
with_pca,5,10,4,265,66,6.056992507836163,56.05472086019344,7.48697007207812,0.597801094878285
with_pca,5,20,4,265,66,6.114311436409435,57.486833770342784,7.582007238874333,0.5875255242281459
with_pca,none,1,4,265,66,5.299999999999999,51.18553030303031,7.154406355738421,0.6327380828940565
with_pca,none,5,4,265,66,5.929659692159691,58.93079435783572,7.676639522462659,0.5771649451651077
with_pca,none,10,4,265,66,6.169882244362261,58.937148362029,7.6770533645422185,0.5771193544728261
with_pca,none,20,4,265,66,6.114311436409435,57.486833770342784,7.582007238874333,0.5875255242281459
without_pca,2,1,5,265,66,5.648940554975036,51.99886019651749,7.211023519342971,0.7066989396375509
without_pca,2,5,5,265,66,5.648940554975036,51.99886019651749,7.211023519342971,0.7066989396375509
without_pca,2,10,5,265,66,5.648940554975036,51.99886019651749,7.211023519342971,0.7066989396375509
without_pca,2,20,5,265,66,6.145026413560895,59.56908031941311,7.7181008233511115,0.6639988961975385
without_pca,3,1,5,265,66,6.510578227593774,127.04170433634067,11.27127784842254,0.28341762778490753
without_pca,3,5,5,265,66,5.676371688518817,50.39984904065534,7.0992851077172086,0.7157182078633026
without_pca,3,10,5,265,66,5.284136840033969,45.424003870200785,6.739733219512534,0.7437846050723598
without_pca,3,20,5,265,66,5.62838023088023,48.85702799470359,6.989780253677765,0.724420534164629
without_pca,4,1,5,265,66,6.542229141224451,128.37823078808515,11.330411766042978,0.275878912051185
without_pca,4,5,5,265,66,5.834525649632602,52.34639489701272,7.235080849376372,0.7047386602048333
without_pca,4,10,5,265,66,5.985903198092345,55.710322329214605,7.463934775251898,0.6857643311691899
without_pca,4,20,5,265,66,6.099037114845937,54.93961730791173,7.412126368857437,0.6901115149174586
without_pca,5,1,5,265,66,6.094462160151278,120.31056313307937,10.96861719329649,0.32138482254465206
without_pca,5,5,5,265,66,5.811986931491649,59.53800126597662,7.7160871733007665,0.6641741984886567
without_pca,5,10,5,265,66,6.018290800143812,54.98442122574626,7.415148091963252,0.6898587971355765
without_pca,5,20,5,265,66,6.106004844086394,54.224756054033755,7.363746061213257,0.694143710296012
without_pca,none,1,5,265,66,8.210606060606061,170.8394696969697,13.070557359843907,0.03637507775150184
without_pca,none,5,5,265,66,5.96400012025012,62.58116571976854,7.910825855735199,0.647009142220476
without_pca,none,10,5,265,66,5.9795806742745965,57.07239849360695,7.554627621107936,0.6780815015494467
without_pca,none,20,5,265,66,6.106004844086394,54.224756054033755,7.363746061213257,0.694143710296012
with_pca,2,1,5,265,66,6.699362041467305,73.91402906162266,8.597326855576835,0.5830858019290448
with_pca,2,5,5,265,66,6.699362041467305,73.91402906162266,8.597326855576835,0.5830858019290448
with_pca,2,10,5,265,66,6.699362041467305,73.91402906162266,8.597326855576835,0.5830858019290448
with_pca,2,20,5,265,66,6.705825143325143,73.94750056164885,8.599273257761313,0.5828970049744097
with_pca,3,1,5,265,66,5.875527426634321,61.84879498690709,7.864400484900746,0.6511401003167666
with_pca,3,5,5,265,66,5.9988591394847495,62.85409683985669,7.928057570417655,0.6454696664199444
with_pca,3,10,5,265,66,6.151121613852487,64.74312272000475,8.04631112498173,0.6348145618348511
with_pca,3,20,5,265,66,6.162680786847451,65.02780813768122,8.063982151374171,0.6332087855820896
with_pca,4,1,5,265,66,6.322719987091732,70.1054629304308,8.372900508810003,0.6045681282823039
with_pca,4,5,5,265,66,5.9435557590557595,62.427841642301175,7.901129137174077,0.647873971071153
with_pca,4,10,5,265,66,6.3325391976444605,69.31505301693659,8.325566228007354,0.6090264580393929
with_pca,4,20,5,265,66,6.20959410199751,66.0368703279533,8.126307299625907,0.6275171413948911
with_pca,5,1,5,265,66,6.369148977408401,69.76985018176623,8.352834859002435,0.6064611616042356
with_pca,5,5,5,265,66,6.3472455531564576,66.16433905778138,8.134146486127563,0.6267981503731583
with_pca,5,10,5,265,66,6.48758402594937,67.90310814904328,8.240334225566539,0.6169905735096424
with_pca,5,20,5,265,66,6.263332030735437,67.31033631810884,8.20428767889747,0.620334120001027
with_pca,none,1,5,265,66,7.985606060606061,114.00170454545453,10.677158074387329,0.3569701201152906
with_pca,none,5,5,265,66,6.329990981240981,65.94089294964476,8.120399802327762,0.6280585045463585
with_pca,none,10,5,265,66,6.68360209965473,73.07897689163084,8.548624268947071,0.5877959376126145
with_pca,none,20,5,265,66,6.263332030735437,67.31033631810884,8.20428767889747,0.620334120001027
